,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Pigr,Pigr,Pigr,Pigr,Pigr,Pigr,Gpam,Gpam,Gpam,Gpam,Gpam,Gpam,Acly,Acly,Acly,Acly,Acly,Acly
,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1
37,6981,1997,1140,0.7775673869458677,0.8596231991134097,0.8165389788876541,27712,22765,2193,0.5490025159973849,0.9266677813074736,0.6895076012042497,6601,5972,547,0.5250139187147062,0.9234750979294908,0.6694386694386694,2225,3244,394,0.4068385445236789,0.8495609011072929,0.5501978239366964
38,7121,2146,1000,0.7684255962015755,0.8768624553626401,0.8190706234184496,28075,23641,1830,0.5428687446824967,0.9388062196957031,0.6879357028215778,6682,6365,466,0.512148386602284,0.9348069390039172,0.6617479574152018,2269,3480,350,0.3946773351887285,0.8663612065673921,0.5423040152963672
39,7241,2374,880,0.7530941237649506,0.8916389607191233,0.8165313486693729,28383,24790,1522,0.5337859439941324,0.9491055007523825,0.6832855870386865,6758,6830,390,0.49735060347365323,0.9454392837157247,0.6518132716049384,2317,3786,302,0.37964935277732265,0.8846888125238641,0.5313001605136437
40,7294,2495,827,0.7451220757993666,0.8981652505849034,0.8145170295924065,28548,25334,1357,0.5298244311643963,0.9546229727470322,0.6814422285080023,6796,7030,352,0.49153768262693476,0.9507554560716285,0.6480404310098218,2342,3931,277,0.3733460864020405,0.8942344406261932,0.5267656320287899
41,7346,2605,775,0.7382172645965229,0.904568402906046,0.8129703408587869,28626,25787,1279,0.5260875158509914,0.9572312322354122,0.6790009250693803,6814,7169,334,0.48730601444611316,0.9532736429770565,0.64492925086366,2360,4033,259,0.36915376192710775,0.9011072928598702,0.5237461162893919
42,7395,2756,726,0.7284996552063836,0.9106021425932767,0.8094352014010507,28731,26340,1174,0.5217083401427248,0.960742350777462,0.676214460553568,6840,7389,308,0.48070841239721696,0.9569110240626749,0.6399401225616317,2383,4201,236,0.36193803159173754,0.9098892707140129,0.5178746061067043
43,7430,2863,691,0.7218498008355193,0.9149119566555843,0.8069946779624201,28799,26794,1106,0.5180328458618891,0.9630162180237418,0.6736765772298766,6877,7538,271,0.4770724939299341,0.9620872971460548,0.63785187589853,2394,4308,225,0.35720680393912263,0.9140893470790378,0.5136787898294174
44,7480,2988,641,0.7145586549484142,0.9210688338874523,0.8047770186669536,28931,27358,974,0.5139725345982341,0.9674301956194616,0.671299626424113,6906,7767,242,0.47066039664690246,0.9661443760492445,0.6329682416021264,2419,4489,200,0.3501737116386798,0.923634975181367,0.5078198803400861
45,7561,3254,560,0.6991215903837263,0.9310429750030784,0.7985847063793832,29075,28245,830,0.5072400558269365,0.9722454439057013,0.6666666666666667,6947,8106,201,0.46150269049358933,0.9718802462227196,0.6258276654204765,2448,4747,171,0.34023627519110494,0.9347079037800687,0.498879152231506
46,7615,3460,506,0.6875846501128668,0.9376924024134958,0.7933944571785789,29174,28907,731,0.5022985141440403,0.9755559271024912,0.6631509558338826,6969,8389,179,0.45377002213829926,0.9749580302182429,0.6193015195947748,2458,4948,161,0.3318930596813395,0.9385261550210003,0.49037406483790524
